step,total_steps,loss,reward_avg,tokens_per_sec,avg_response_len
122,12000,-14.492792,0.125000,48.638747,659.750000
123,12000,-85.441643,0.125000,44.648027,1606.625000
124,12000,-0.000000,1.000000,49.874872,222.500000
125,12000,-0.000000,0.000000,44.098882,1847.750000
126,12000,4.859502,0.500000,47.033944,853.000000
127,12000,-7.351006,0.625000,46.147029,1005.500000
128,12000,-14.032634,0.625000,49.682963,395.000000
129,12000,-5.363270,0.875000,48.723076,681.000000
130,12000,-0.000000,1.000000,49.870051,368.250000
131,12000,-0.000000,1.000000,49.137015,497.250000
132,12000,-0.000000,1.000000,49.864174,266.125000
133,12000,-0.000000,1.000000,49.312625,578.375000
134,12000,-68.266029,0.625000,47.155851,624.500000
135,12000,-0.000000,1.000000,49.818206,340.875000
136,12000,-10.537526,0.750000,45.466875,679.625000
137,12000,-0.000000,1.000000,49.273352,505.375000
138,12000,-17.455786,0.750000,49.063449,575.125000
139,12000,8.317884,0.125000,47.085790,583.750000
140,12000,-47.305328,0.250000,47.596952,865.250000
141,12000,-0.000000,1.000000,49.610741,176.500000
142,12000,-78.133827,0.375000,46.922989,1069.500000
143,12000,-0.000000,1.000000,49.131840,442.125000
144,12000,-85.749390,0.500000,47.129582,893.000000
145,12000,-0.000000,1.000000,49.585545,308.750000
146,12000,-0.000000,1.000000,49.785601,281.875000
147,12000,0.232363,0.750000,49.401698,428.875000
148,12000,1.179550,0.875000,49.866112,305.125000
149,12000,-0.000000,1.000000,49.566947,352.500000
150,12000,-27.596807,0.750000,49.041672,574.625000
151,12000,-0.000000,1.000000,50.010826,208.375000
152,12000,-0.000000,1.000000,49.546228,456.750000
153,12000,-0.000000,1.000000,49.812489,169.250000
154,12000,-0.000000,1.000000,49.380321,249.250000
155,12000,-6.126366,0.250000,46.751245,602.500000
156,12000,-63.791813,0.875000,49.371442,516.375000
157,12000,2.781677,0.500000,49.625831,348.500000
158,12000,0.092220,0.750000,49.546120,385.375000
159,12000,-18.976183,0.500000,46.910971,814.750000
160,12000,-0.000000,1.000000,49.673850,466.625000
161,12000,-0.000000,1.000000,48.908458,725.750000
162,12000,1.244975,0.375000,49.265473,584.750000
163,12000,17.164698,0.125000,49.678308,257.750000
164,12000,-207.521301,0.875000,46.215933,793.375000
165,12000,-26.781809,0.375000,49.375588,504.500000
166,12000,-0.000000,1.000000,49.591200,412.250000
167,12000,-28.258335,0.500000,49.445024,445.875000
168,12000,-68.240845,0.500000,47.191072,581.375000
169,12000,-3.624702,0.625000,49.523341,452.625000
170,12000,-0.000000,1.000000,49.756664,362.250000
171,12000,-0.000000,0.000000,48.447572,568.625000
172,12000,-1.820084,0.375000,47.935543,821.250000
173,12000,51.266449,0.750000,49.172648,577.375000
174,12000,-203.510193,0.875000,49.449185,448.250000
175,12000,-130.721588,0.625000,46.981909,1029.875000
176,12000,-40.060303,0.750000,49.025809,563.500000
177,12000,-0.000000,0.000000,49.549860,379.625000
178,12000,-0.000000,1.000000,49.287460,479.000000
179,12000,-6.036882,0.875000,49.638124,422.500000
180,12000,-317.269470,0.875000,47.348483,749.375000
181,12000,-0.000000,1.000000,49.382073,384.000000
182,12000,-0.000000,1.000000,49.781402,231.875000
183,12000,-0.000000,1.000000,49.231576,142.000000
184,12000,-394.266113,0.125000,45.721221,1337.250000
185,12000,-1.257028,0.875000,48.874848,590.000000
186,12000,-135.425995,0.375000,47.856950,697.250000
187,12000,-0.000000,0.000000,44.757504,1561.375000
188,12000,-0.000000,1.000000,49.735540,348.000000
189,12000,-7.922039,0.500000,49.277585,472.250000
190,12000,-83.091187,0.750000,49.031636,633.125000
191,12000,-0.000000,0.000000,45.009277,1431.500000
192,12000,-0.000000,0.000000,39.352910,1705.125000
193,12000,-1209.829468,0.625000,45.221760,1104.500000
194,12000,-0.000000,0.000000,44.189129,1766.875000
195,12000,-21.143583,0.875000,49.674199,299.500000
196,12000,-0.000000,1.000000,48.965242,159.500000
197,12000,-1790.432373,0.500000,45.369967,1149.625000
198,12000,-0.000000,1.000000,49.633487,208.750000
199,12000,1.538594,0.750000,48.268253,403.000000
200,12000,-0.000000,0.000000,44.719191,1453.000000
201,12000,-0.000000,0.000000,44.458211,1703.500000
202,12000,-1252.658447,0.250000,46.236980,1064.750000
203,12000,-0.000000,0.000000,48.990178,439.625000
204,12000,-0.000000,1.000000,49.784899,368.250000
205,12000,-2378.739258,0.875000,47.168753,553.000000
